[2025-07-21 15:33:19] - Event: Smoke | Confidence: 54.88% | Video: test1.mp4
[2025-07-21 15:33:19] - Event: Smoke | Confidence: 55.02% | Video: test1.mp4
[2025-07-21 15:33:19] - Event: Smoke | Confidence: 54.05% | Video: test1.mp4
[2025-07-21 15:33:19] - Event: Smoke | Confidence: 52.65% | Video: test1.mp4
[2025-07-21 15:33:19] - Event: Smoke | Confidence: 53.34% | Video: test1.mp4
[2025-07-21 15:33:19] - Event: Smoke | Confidence: 53.28% | Video: test1.mp4
[2025-07-21 15:33:19] - Event: Smoke | Confidence: 53.21% | Video: test1.mp4
[2025-07-21 15:33:19] - Event: Smoke | Confidence: 54.25% | Video: test1.mp4
[2025-07-21 15:33:19] - Event: Smoke | Confidence: 54.00% | Video: test1.mp4
[2025-07-21 15:33:19] - Event: Smoke | Confidence: 53.57% | Video: test1.mp4
[2025-07-21 15:33:20] - Event: Smoke | Confidence: 54.96% | Video: test1.mp4
[2025-07-21 15:33:20] - Event: Smoke | Confidence: 55.51% | Video: test1.mp4
[2025-07-21 15:33:20] - Event: Smoke | Confidence: 55.31% | Video: test1.mp4
[2025-07-21 15:33:20] - Event: Smoke | Confidence: 50.19% | Video: test1.mp4
[2025-07-21 15:33:20] - Event: Smoke | Confidence: 51.42% | Video: test1.mp4
[2025-07-21 15:33:20] - Event: Smoke | Confidence: 51.24% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 50.73% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 50.48% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 50.33% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 50.29% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 50.56% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 50.66% | Video: test1.mp4
[2025-07-21 15:33:21] - Event: Smoke | Confidence: 50.61% | Video: test1.mp4
